word,pinyin
一,yī
一_也_,yī_yě_
一_就_,yī_jiù_
一一,yīyī
一下,yīxià
一下儿,yíxiàr
一下子,yīxiàzi
一个劲儿,yīgèjìnr
一举,yījǔ
一些,yìxiē
一会儿,yíhuìr
一会儿_一会儿_,yīhuìr_yīhuìr_
一共,yígòng
一再,yīzài
一切,yíqiè
一半,yībàn
一口气,yīkǒuqì
一同,yītóng
一向,yīxiàng
一哄而散,yīhōng'érsàn
一块儿,yíkuàir
一头,yītóu
一定,yídìng
一帆风顺,yīfānfēngshùn
一带,yīdài
一干二净,yīgān'èrjìng
一度,yīdù
一律,yīlǜ
一心,yīxīn
一手,yīshǒu
一技之长,yījìzhīcháng
一方_一方面_,yīfāng_yīfāngmiàn_
一旁,yīpáng
一旦,yīdàn
一时,yīshí
一样,yíyàng
一概,yīgài
一概而论,yīgài'érlùn
一毛不拔,yīmáobùbá
一点儿,yìdiǎnr
一生,yīshēng
一直,yìzhí
一系列,yīxìliè
一致,yīzhì
一般,yìbān
一行,yīxíng
一贯,yīguàn
一起,yìqǐ
一路平安,yīlùpíng'ān
一路顺风,yīlùshùnfēng
一身,yīshēn
一辈子,yībèizi
一边,yībiān
一边_一边,yìbiān_4biān_
一连,yīlián
一道,yīdào
一阵,yīzhèn
一面_一面_,yīmiàn_yīmiàn_
一齐,yīqí
丁,dīng
七,qī
七嘴八舌,qīzuǐbāshé
万,wàn
万一,wànyī
万万,wànwàn
万分,wànfēn
万古长青,wàngǔchángqīng
万岁,wànsuì
万水千山,wànshuǐqiānshān
丈,zhàng
丈夫,zhàngfu
三,sān
三番五次,sānfānwǔcì
三角,sānjiǎo
上,shàng
上下,shàngxià
上交,shàngjiāo
上任,shàngrèn
上升,shàngshēng
上午,shàngwǔ
上去,shàngqù
上台,shàngtái
上头,shàngtou
上学,shàngxué
上层,shàngcéng
上帝,Shàngdì
上当,shàngdàng
上报,shàngbào
上旬,shàngxún
上来,shànglái
上涨,shàngzhǎng
上游,shàngyóu
上班,shàngbān
上空,shàngkōng
上等,shàngděng
上级,shàngjí
上衣,shàngyī
上诉,shàngsù
上课,shàngkè
上边,shàngbiān
上进,shàngjìn
上述,shàngshù
上面,shàngmian
下,xià
下乡,xiàxiāng
下令,xiàlìng
下列,xiàliè
下午,xiàwǔ
下去,xiàqù
下台,xiàtái
下放,xiàfàng
下旬,xiàxún
下来,xiàlái
下游,xiàyóu
下班,xiàbān
下级,xiàjí
下落,xiàluò
下课,xiàkè
下边,xiàbiān
下达,xiàdá
下降,xiàjiàng
下面,xiàmian
不,bù
不一定,bùyídìng
不久,bùjiǔ
不仅,bùjǐn
不但,búdàn
不住,bùzhù
不停,bùtíng
不像话,bùxiànghuà
不免,bùmiǎn
不公,bùgōng
不利,bùlì
不卑不亢,bùbēibùkàng
不只,bùzhǐ
不可,bùkě
不同,bùtóng
不在乎,bùzàihu
不堪,bùkān
不够,bùgòu
不大,bùdà
不好意思,bùhǎoyìsi
不如,bùrú
不妨,bùfáng
不安,bù'ān
不定,bùdìng
不宜,bùyí
不容,bùróng
不对,bùduì
不少,búshǎo
不平,bùpíng
不幸,bùxìng
不当,bùdàng
不得,bùdé
不得不,bùdébù
不得了,bùdéliǎo
不得已,bùdéyǐ
不必,bùbì
不怎么样,bùzěnmeyàng
不惜,bùxī
不愧,bùkuì
不敢当,bùgǎndāng
不料,bùliào
不断,bùduàn
不时,bùshí
不是,bùshì
不是_就是_,bùshì_jiùshì_
不是_而是_,bùshì_érshì_
不是吗,bùshìma
不曾,bùcéng
不朽,bùxiǔ
不止,bùzhǐ
不正之风,bùzhèngzhīfēng
不比,bùbǐ
不法,bùfǎ
不满,bùmǎn
不然,bùrán
不用,búyòng
不由得,bùyóude
不相上下,bùxiāngshàngxià
不知不觉,bùzhībùjué
不禁,bùjīn
不等,bùděng
不管,bùguǎn
不至于,bùzhìyú
不良,bùliáng
不行,bùxíng
不要,búyào
不要紧,bùyàojǐn
不见,bùjiàn
不见得,bùjiànde
不觉,bùjué
不解,bùjiě
不言而喻,bùyán'éryù
不许,bùxǔ
不论,bùlùn
不足,bùzú
不辞而别,bùcí'érbié
不过,bùguò
不错,búcuò
不顾,bùgù
与,yǔ
与会,yùhuì
与其,yǔqí
与此同时,yǔcǐtóngshí
丑,chǒu
丑恶,chǒu'è
专,zhuān
专业,zhuānyè
专业户,zhuānyèhù
专人,zhuānrén
专利,zhuānlì
专制,zhuānzhì
专家,zhuānjiā
专心,zhuānxīn
专政,zhuānzhèng
专用,zhuānyòng
专科,zhuānkē
专程,zhuānchéng
专长,zhuāncháng
专门,zhuānmén
专题,zhuāntí
且,qiě
世,shì
世代,shìdài
世界,shìjiè
世界观,shìjièguān
世纪,shìjì
丘陵,qiūlíng
丙,bǐng
业余,yèyú
业务,yèwù
丛,cóng
东,dōng
东北,dōngběi
东南,dōngnán
东奔西走,dōngbēnxīzǒu
东方,dōngfāng
东西,dōngxi
东边,dōngbiān
东道主,dōngdàozhǔ
东部,dōngbù
东面,dōngmiàn
丝,sī
丝毫,sīháo
丢,diū
丢人,diūrén
丢失,diūshī
两,liǎng
两口子,liǎngkǒuzi
两手,liǎngshǒu
两旁,liǎngpáng
两极,liǎngjí
严,yán
严厉,yánlì
严密,yánmì
严寒,yánhán
严峻,yánjùn
严格,yángé
严禁,yánjìn
严肃,yánsù
严重,yánzhòng
丧失,sàngshī
个,gè
个人,gèrén
个体,gètǐ
个体户,gètǐhù
个儿,gèr
个别,gèbié
个子,gèzi
个性,gèxìng
中,zhōng
中医,Zhōngyī
中午,zhōngwǔ
中原,Zhōngyuán
中型,zhōngxíng
中央,zhōngyāng
中学,zhōngxué
中年,zhōngnián
中心,zhōngxīn
中文,zhōngwén
中断,zhōngduàn
中旬,zhōngxún
中游,zhōngyóu
中秋,zhōngqiū
中立,zhōnglì
中等,zhōngděng
中药,zhōngyào
中途,zhōngtú
中部,zhōngbù
中间,zhōngjiān
中餐,Zhōngcān
丰产,fēngchǎn
丰富,fēngfù
丰收,fēngshōu
丰满,fēngmǎn
串,chuàn
临,lín
临床,línchuáng
临时,línshí
临近,línjìn
丸,wán
丹,dān
为,wèi
为了,wèile
为什么,wèishénme
为何,wèihé
为期,wéiqī
为止,wéizhǐ
为难,wéinán
为首,wéishǒu
主,zhǔ
主义,zhǔyì
主人,zhǔrén
主人翁,zhǔrénwēng
主任,zhǔrèn
主体,zhǔtǐ
主力,zhǔlì
主办,zhǔbàn
主动,zhǔdòng
主导,zhǔdǎo
主席,zhǔxí
主张,zhǔzhāng
主意,zhǔyi
主持,zhǔchí
主权,zhǔquán
主流,zhǔliú
主管,zhǔguǎn
主编,zhǔbiān
主要,zhǔyào
主观,zhǔguān
主题,zhǔtí
主食,zhǔshí
举,jǔ
举世瞩目,jǔshìzhǔmù
举世闻名,jǔshìwénmíng
举办,jǔbàn
举动,jǔdòng
举行,jǔxíng
乃,nǎi
久,jiǔ
义务,yìwù
之,zhī
之一,zhīyī
之上,zhīshàng
之下,zhīxià
之中,zhīzhōng
之内,zhīnèi
之前,zhīqián
之后,zhīhòu
之外,zhīwài
之类,zhīlèi
乌云,wūyún
乌鸦,wūyā
乐,lè
乐器,yuèqì
乐意,lèyì
乐曲,yuèqǔ
乐观,lèguān
乐趣,lèqù
乐队,yuèduì
乒乓球,Pīngpāngqiú
乔装,qiáozhuāng
乖,guāi
乘,chéng
乘务员,chéngwùyuán
乘客,chéngkè
乘机,chéngjī
乙,yǐ
九,jiǔ
乞求,qǐqiú
也,yě
也许,yěxǔ
习俗,xísú
习惯,xíguàn
习题,xítí
乡,xiāng
乡下,xiāngxia
乡亲,xiāngqīn
乡村,xiāngcūn
书,shū
书信,shūxìn
书写,shūxiě
书刊,shūkān
书包,shūbāo
书店,shūdiàn
书本,shūběn
书架,shūjià
书法,shūfǎ
书籍,shūjí
书记,shūji
书面,shūmiàn
买,mǎi
买卖,mǎimài
乱,luàn
乱七八糟,luànqībāzāo
乳,rǔ
了,liǎo
了不起,liǎobuqǐ
了解,liǎojiě
予,yǔ
予以,yǔyǐ
争,zhēng
争先恐后,zhēngxiānkǒnghòu
争取,zhēngqǔ
争吵,zhēngchǎo
争夺,zhēngduó
争气,zhēngqì
争端,zhēngduān
争议,zhēngyì
争论,zhēnglùn
事,shì
事业,shìyè
事件,shìjiàn
事例,shìlì
事先,shìxiān
事务,shìwù
事变,shìbiàn
事实,shìshí
事态,shìtài
事情,shìqing
事故,shìgù
事物,shìwù
事迹,shìjì
事项,shìxiàng
二,èr
二氧化碳,èryǎnghuàtàn
于,yú
于是,yúshì
亏,kuī
亏待,kuīdài
亏损,kuīsǔn
云,yún
云彩,yúncai
互利,hùlì
互助,hùzhù
互相,hùxiāng
五,wǔ
井,jǐng
亚军,yàjūn
些,xiē
亡,wáng
交,jiāo
交付,jiāofù
交代,jiāodài
交叉,jiāochā
交往,jiāowǎng
交手,jiāoshǒu
交换,jiāohuàn
交易,jiāoyì
交替,jiāotì
交流,jiāoliú
交涉,jiāoshè
交点,jiāodiǎn
交谈,jiāotán
交通,jiāotōng
交错,jiāocuò
交际,jiāojì
亦,yì
产,chǎn
产业,chǎnyè
产值,chǎnzhí
产区,chǎnqū
产品,chǎnpǐn
产地,chǎndì
产物,chǎnwù
产生,chǎnshēng
产量,chǎnliàng
亩,mǔ
享乐,xiǎnglè
享受,xiǎngshòu
享有,xiǎngyǒu
享福,xiǎngfú
京剧,jīngjù
亭子,tíngzi
亮,liàng
亮光,liàngguāng
亲,qīn
亲人,qīnrén
亲切,qīnqiè
亲友,qīnyǒu
亲密,qīnmì
亲戚,qīnqi
亲手,qīnshǒu
亲热,qīnrè
亲爱,qīn'ài
亲生,qīnshēng
亲眼,qīnyǎn
亲笔,qīnbǐ
亲自,qīnzì
亲身,qīnshēn
人,rén
人为,rénwéi
人事,rénshì
人们,rénmen
人体,réntǐ
人力,rénlì
人参,rénshēn
人口,rénkǒu
人员,rényuán
人均,rénjūn
人士,rénshì
人家,rénjiā
人工,réngōng
人心,rénxīn
人性,rénxìng
人情,rénqíng
人才,réncái
人权,rénquán
人格,réngé
人民,rénmín
人民币,rénmínbì
人物,rénwù
人生,rénshēng
人类,rénlèi
人群,rénqún
人质,rénzhì
人身,rénshēn
人造,rénzào
人道主义,réndàozhǔyì
人间,rénjiān
亿,yì
亿万,yìwàn
什么,shénme
什么的,shénmede
仁慈,réncí
仅,jǐn
仅仅,jǐnjǐn
仆人,púrén
仇,chóu
仇恨,chóuhèn
今后,jīnhòu
今天,jīntiān
今年,jīnnián
今日,jīnrì
介绍,jièshào
仍,réng
仍旧,réngjiù
仍然,réngrán
从,cóng
从_出发,cóng_chūfā
从_到_,cóng_dào_
从_看来,cóng_kànlai
从_起,cóng_qǐ
从不/没,cóngbù/méi
从中,cóngzhōng
从事,cóngshì
从前,cóngqián
从头,cóngtóu
从容,cóngróng
从容不迫,cóngróngbùpò
从小,cóngxiǎo
从未,cóngwèi
从来,cónglái
从此,cóngcǐ
从而,cóng'ér
仓促,cāngcù
仓库,cāngkù
仔细,zǐxì
他,tā
他人,tārén
他们,tāmen
付,fù
付出,fùchū
付款,fùkuǎn
仙女,xiānnǚ
代,dài
代价,dàijià
代办,dàibàn
代号,dàihào
代数,dàishù
代替,dàitì
代理,dàilǐ
代表,dàibiǎo
令,lìng
以,yǐ
以上,yǐshàng
以下,yǐxià
以为,yǐwéi
以便,yǐbiàn
以免,yǐmiǎn
以内,yǐnèi
以前,yǐqián
以及,yǐjí
以后,yǐhòu
以外,yǐwài
以往,yǐwǎng
以来,yǐlái
以至,yǐzhì
以至于,yǐzhìyú
以致,yǐzhì
以身作则,yǐshēnzuòzé
仪器,yíqì
仪式,yíshì
仪表,yíbiǎo
们,men
件,jiàn
价,jià
价值,jiàzhí
价格,jiàgé
价钱,jiàqian
任,rèn
任何,rènhé
任务,rènwu
任命,rènmìng
任性,rènxìng
任意,rènyì
份,fèn
仿佛,fǎngfú
企业,qǐyè
企图,qǐtú
伊斯兰教,Yīsīlánjiào
伍,wǔ
伏,fú
伐,fá
休养,xiūyǎng
休息,xiūxi
众,zhòng
众人,zhòngrén
众多,zhòngduō
众所周知,zhòngsuǒzhōuzhī
众议院,Zhòngyìyuàn
优,yōu
优先,yōuxiān
优势,yōushì
优异,yōuyì
优惠,yōuhuì
优点,yōudiǎn
优秀,yōuxiù
优美,yōuměi
优胜,yōushèng
优良,yōuliáng
优质,yōuzhì
优越,yōuyuè
伙,huǒ
伙伴,huǒbàn
伙计,huǒji
伙食,huǒshi
会,huì
会同,huìtóng
会员,huìyuán
会场,huìchǎng
会客,huìkè
会晤,huìwù
会见,huìjiàn
会计,kuàijì
会议,huìyì
会话,huìhuà
会谈,huìtán
伞,sǎn
伟大,wěidà
传,chuán
传单,chuándān
传授,chuánshòu
传播,chuánbō
传染,chuánrǎn
传真,chuánzhēn
传统,chuántǒng
传记,zhuànjì
传说,chuánshuō
传达,chuándá
传送,chuánsòng
传递,chuándì
伤,shāng
伤口,shāngkǒu
伤员,shāngyuán
伤害,shānghài
伤心,shāngxīn
伤痕,shānghén
伤脑筋,shāngnǎojīn
伪造,wěizào
伯伯,bóbo
伯母,bómǔ
估计,gūjì
伴,bàn
伴侣,bànlǚ
伴奏,bànzòu
伴随,bànsuí
伶俐,línglì
伸,shēn
伸展,shēnzhǎn
伸手,shēnshǒu
伺候,cìhou
似,sì
似乎,sìhū
似是而非,sìshì'érfēi
似的,shìde
似笑非笑,sìxiàofēixiào
但,dàn
但是,dànshì
位,wèi
位于,wèiyú
位置,wèizhi
低,dī
低下,dīxiá
低劣,dīliè
低温,dīwēn
低级,dījí
住,zhù
住宅,zhùzhái
住房,zhùfáng
住所,zhùsuǒ
住院,zhùyuàn
体,tǐ
体会,tǐhuì
体制,tǐzhì
体力,tǐlì
体操,tǐcāo
体温,tǐwēn
体现,tǐxiàn
体积,tǐjī
体系,tǐxì
体育,tǐyù
体育场,tǐyùchǎng
体育馆,tǐyùguǎn
体谅,tǐliàng
体质,tǐzhì
体贴,tǐtiē
体重,tǐzhòng
体面,tǐmian
体验,tǐyàn
何,hé
何况,hékuàng
何必,hébì
何等,héděng
余,yú
佛教,Fójiào
作,zuò
作业,zuòyè
作为,zuòwéi
作主,zuòzhǔ
作品,zuòpǐn
作家,zuòjiā
作废,zuòfèi
作战,zuòzhàn
作文,zuòwén
作案,zuò'àn
作法,zuòfǎ
作物,zuòwù
作用,zuòyòng
作者,zuòzhě
作风,zuòfēng
你,nǐ
你们,nǐmen
佩服,pèifu
佳,jiā
使劲,shǐjìn
使命,shǐmìng
使得,shǐde
使用,shǐyòng
使节,shǐjié
侄子,zhízi
例,lì
例外,lìwài
例如,lìrú
例子,lìzi
侍候,shìhòu
供,gōng
供不应求,gōngbùyìngqiú
供应,gōngyìng
供给,gōngjǐ
供销,gōngxiāo
依,yī
依据,yījù
依旧,yījiù
依次,yīcì
依然,yīrán
依照,yīzhào
依赖,yīlài
依靠,yīkào
侦察,zhēnchá
侦探,zhēntàn
侧,cè
侧面,cèmiàn
侨胞,Qiáobāo
侮辱,wǔrǔ
侵入,qīnrù
侵占,qīnzhàn
侵害,qīnhài
侵犯,qīnfàn
侵略,qīnlvè
侵蚀,qīnshí
便,biàn
便于,biànyú
便利,biànlì
便宜,piányi
便条,biàntiáo
便道,biàndào
促,cù
促使,cùshǐ
促进,cùjìn
俄语,éyǔ
俊,jùn
俗,sú
俗话,súhuà
俘虏,fúlǔ
保,bǎo
保健,bǎojiàn
